id,title,author,book_page_url,image_url
61,The Violins of Saint-Jacques,Patrick Leigh Fermor,https://www.nyrb.com/collections/classics/products/the-violins-of-saint-jacques,https://cdn.shopify.com/s/files/1/0726/9203/products/The_Violins_of_Saint-Jacques_large.jpg?v=1493924426
62,Arabia Felix,Thorkild Hansen,https://www.nyrb.com/collections/classics/products/arabia-felix,https://cdn.shopify.com/s/files/1/0726/9203/products/Hansen_Arabia_Felix_NEW_large.jpg?v=1479767641
63,Notes of a Crocodile,Qiu Miaojin,https://www.nyrb.com/collections/classics/products/notes-of-a-crocodile,https://cdn.shopify.com/s/files/1/0726/9203/products/qiu.Crocodile.hires2_large.jpg?v=1483481868
64,History is Our Mother: Three Libretti,Alice Goodman,https://www.nyrb.com/collections/classics/products/history-is-our-mother,https://cdn.shopify.com/s/files/1/0726/9203/products/12-Three_Libretti-for_web_large.jpg?v=1528394263
65,The Farm in the Green Mountains,Alice Herdan-Zuckmayer,https://www.nyrb.com/collections/classics/products/the-farm-in-the-green-mountains,https://cdn.shopify.com/s/files/1/0726/9203/products/farm.green.mountains_large.jpg?v=1479855684
66,Making It,Norman Podhoretz,https://www.nyrb.com/collections/classics/products/making-it,https://cdn.shopify.com/s/files/1/0726/9203/products/podhoretz.hires.NEW_large.jpg?v=1481840324
67,Late Fame,Arthur Schnitzler,https://www.nyrb.com/collections/classics/products/late-fame,https://cdn.shopify.com/s/files/1/0726/9203/products/Late_Fame_large.jpg?v=1501710841
68,Ernesto,Umberto Saba,https://www.nyrb.com/collections/classics/products/ernesto,https://cdn.shopify.com/s/files/1/0726/9203/products/6-Ernesto-for_web_large.jpg?v=1528394265
69,Down Below,Leonora Carrington,https://www.nyrb.com/collections/classics/products/down-below,https://cdn.shopify.com/s/files/1/0726/9203/products/carrington.newtitle_large.jpg?v=1528394265
70,A Favourite of the Gods and A Compass Error,Sybille Bedford,https://www.nyrb.com/collections/classics/products/a-favourite-of-the-gods-and-a-compass-error,https://cdn.shopify.com/s/files/1/0726/9203/products/A_Favourite_of_the_Gods_large.jpg?v=1496682892
71,Party Going,Henry Green,https://www.nyrb.com/collections/classics/products/party-going,https://cdn.shopify.com/s/files/1/0726/9203/products/Green_Party_Going_cover_large.jpg?v=1479312956
72,Living,Henry Green,https://www.nyrb.com/collections/classics/products/living,https://cdn.shopify.com/s/files/1/0726/9203/products/Living_large.jpg?v=1485817094
73,Blindness,Henry Green,https://www.nyrb.com/collections/classics/products/blindness,https://cdn.shopify.com/s/files/1/0726/9203/products/green.tuttle.blindness_large.jpeg?v=1478274686
74,Proensa,Paul Blackburn,https://www.nyrb.com/collections/classics/products/proensa,https://cdn.shopify.com/s/files/1/0726/9203/products/Proensa_large.jpg?v=1478036597
75,The Return of Munchausen,Sigizmund Krzhizhanovsky,https://www.nyrb.com/collections/classics/products/the-return-of-munchausen,https://cdn.shopify.com/s/files/1/0726/9203/products/The_Return_of_Munchausen_large.jpg?v=1481737145
76,Schlump,Hans Herbert Grimm,https://www.nyrb.com/collections/classics/products/schlump,https://cdn.shopify.com/s/files/1/0726/9203/products/Schlump_large.jpg?v=1528394267
77,The Sound of the One Hand,Yoel Hoffmann,https://www.nyrb.com/collections/classics/products/the-sound-of-one-hand-clapping,https://cdn.shopify.com/s/files/1/0726/9203/products/The_Sound_of_the_One_Hand_large.jpg?v=1478643356
78,Like Death,Guy de Maupassant,https://www.nyrb.com/collections/classics/products/like-death,https://cdn.shopify.com/s/files/1/0726/9203/products/Like_Death_large.jpg?v=1484324291
79,Samskara,U.R. Ananthamurthy,https://www.nyrb.com/collections/classics/products/samskara,https://cdn.shopify.com/s/files/1/0726/9203/products/Samskara_large.jpg?v=1479239195
80,Notes on the Cinematograph,Robert Bresson,https://www.nyrb.com/collections/classics/products/notes-on-the-cinematograph,https://cdn.shopify.com/s/files/1/0726/9203/products/Notes_on_the_Cinematograph_large.jpg?v=1528394269
81,Back,Henry Green,https://www.nyrb.com/collections/classics/products/back-2,https://cdn.shopify.com/s/files/1/0726/9203/products/Green_Back_large.jpg?v=1528394269
82,Iza's Ballad,Magda Szabó,https://www.nyrb.com/collections/classics/products/izas-ballad,https://cdn.shopify.com/s/files/1/0726/9203/products/17_Izas_Ballad_large.jpg?v=1528394269
