openrefine_author_name,lat,long
Sylvia Townsend Warner,50.65,-2.3
Robert Herrick,50.7,-3.8
Thomas Hardy,50.71083333,-2.439722222
Olivia Manning,50.7271,-1.1618
Robert Montgomery,50.824167,-0.133889
Edward John Trelawny,50.8303,-0.3395
M. P. Shiel,50.8365,-0.7792
Malcolm Lowry,50.86443611,0.159125
Joseph Warton,50.9,-1.19
Hannah Cowley,50.903,-3.488
Robert Pollok,50.9218,-1.4323
Friedrich Nietzsche,50.98333333,11.31666667
E. Nesbit,50.985,0.941
Hans Herbert Grimm,50.985,12.43333333
"Alfred, Lord Tennyson",51,0
Iona Opie,51.003769,-0.934531
Peter Opie,51.04,-0.895
Arthur Conan Doyle,51.06,0.16
Charles Stuart Calverley,51.081389,1.164722
Simone Weil,51.1465,0.8676
Siegfried Sassoon,51.1833,-2.1
Richard Malden,51.20916667,-2.650833333
Martin Farquhar Tupper,51.2193,-0.5015
Hilaire Belloc,51.2354,-0.5746
Lewis Carroll,51.2354,-0.5746
Ronald Arbuthnot Knox,51.239,-2.3888
Donald G. Payne,51.25,-0.4166666667
Tom Hood,51.25,-0.416667
John Duncombe,51.278333,1.0775
David Mendel,51.278333,1.0775
John Harington,51.3,-3
George Crabbe,51.317,-2.217
Daniel Paul Schreber,51.33333333,12.38333333
Abraham Cowley,51.3902,-0.5074
Thomas Moore,51.39183015,-2.060285214
Algernon Blackwood,51.4077,-0.022
Charles Dickens,51.4112,0.4579
Eliza Cook,51.4235,-0.2171
Uwe Johnson,51.44111111,0.7608333333
Alexander Pope,51.4486,-0.3369
Walter de la Mare,51.4486,-0.3369
Joseph Cottle,51.45,-2.583333333
Leigh Hunt,51.4649,-0.2211
Howard Sturgis,51.48333333,-0.6
Henry James,51.4875,-0.1684
Bram Stoker,51.488,-0.135
M. R. James,51.4881,-0.6092
George Canning,51.4925,-0.2633
John Skelton,51.4995,-0.1333
Arnold Bennett,51.4995,-0.1333
John Hilton the younger,51.4995,-0.1333
Joseph Addison,51.5004,-0.1909
Penelope Mortimer,51.5004,-0.1909
Gabriele Tergit,51.507222,-0.1275
Robert Aickman,51.507222,-0.1275
Sybille Bedford,51.507222,-0.1275
Henry Green,51.507222,-0.1275
Ben Jonson,51.507222,-0.1275
Edmund Spenser,51.507222,-0.1275
Edward Dyer,51.507222,-0.1275
"Henry Howard, Earl of Surrey",51.507222,-0.1275
John Donne,51.507222,-0.1275
Michael Drayton,51.507222,-0.1275
Robert Greene,51.507222,-0.1275
Thomas Lodge,51.507222,-0.1275
Thomas More,51.507222,-0.1275
Thomas Nashe,51.507222,-0.1275
Thomas Wyatt,51.507222,-0.1275
Walter Raleigh,51.507222,-0.1275
Borislav Pekić,51.507222,-0.1275
Andrew Marvell,51.507222,-0.1275
Anthony Holborne,51.507222,-0.1275
Charles Dibdin,51.507222,-0.1275
David Garrick,51.507222,-0.1275
Edmund Clerihew Bentley,51.507222,-0.1275
Geoffrey Chaucer,51.507222,-0.1275
John Dryden,51.507222,-0.1275
John Fletcher,51.507222,-0.1275
John Gay,51.507222,-0.1275
Ned Ward,51.507222,-0.1275
Paul Whitehead,51.507222,-0.1275
Richard Brinsley Sheridan,51.507222,-0.1275
Richard Harris Barham,51.507222,-0.1275
Richard Porson,51.507222,-0.1275
Rudyard Kipling,51.507222,-0.1275
Samuel Butler,51.507222,-0.1275
Samuel Taylor Coleridge,51.507222,-0.1275
"Thomas Babington Macaulay, 1st Baron Macaulay",51.507222,-0.1275
Thomas Campion,51.507222,-0.1275
Thomas d'Urfey,51.507222,-0.1275
Thomas Hood,51.507222,-0.1275
Thomas Jordan,51.507222,-0.1275
Thomas Ravenscroft,51.507222,-0.1275
Thomas Weelkes,51.507222,-0.1275
W. S. Gilbert,51.507222,-0.1275
William Blake,51.507222,-0.1275
Winthrop Mackworth Praed,51.507222,-0.1275
Russell Hoban,51.507222,-0.1275
al-Tayyib Salih,51.507222,-0.1275
H. G. Wells,51.507222,-0.1275
Veronica Wedgwood,51.507222,-0.1275
Ambrose Philips,51.507222,-0.1275
Charles Mackay,51.507222,-0.1275
Christopher Smart,51.507222,-0.1275
Colley Cibber,51.507222,-0.1275
Isaac Watts,51.507222,-0.1275
"John Sheffield, 1st Duke of Buckingham and Normanby",51.507222,-0.1275
Nahum Tate,51.507222,-0.1275
Oliver Goldsmith,51.507222,-0.1275
Thomas Chatterton,51.507222,-0.1275
Thomas Sprat,51.507222,-0.1275
Wilkie Collins,51.507222,-0.1275
L.P. Hartley,51.507222,-0.1275
Russell Page,51.507222,-0.1275
Francis Wyndham,51.507222,-0.1275
