openrefine_author_name,lat,long
William Shenstone,52.45016389,-2.050936111
Anna Akhmatova,46.485722,30.743444
Vladimir Mayakovsky,42.083333,42.833333
Sergei Esenin,54.864722,39.600556
Alexander Blok,59.95,30.31666667
Velimir Khlebnikov,47.95472222,44.68083333
Boris Pasternak,55.75583333,37.61777778
Gilbert Seldes,39.493,-75.08
Gert Ledig,51.33333333,12.38333333
Tatyana Tolstaya,59.95,30.31666667
J. G. Farrell,53.41666667,-3
Osip Mandelstam,52.21666667,21.03333333
Robert Kirk,56.179,-4.385
Leo Myers,52.20805556,0.1225
Theodor Storm,54.47694444,9.051111111
Camara Laye,10,-11
Vladimir Sorokin,55.63166667,38.09055556
A. J. A. Symons,51.507222,-0.1275
Colette,47.61833333,3.197222222
Penelope Mortimer,53.32123056,-3.480188889
Giuseppe Tomasi di Lampedusa,38.115658,13.361262
James Hogg,55.4188,-3.1708
Max Beerbohm,51.507222,-0.1275
Anton Chekhov,47.23333333,38.9
Glenway Wescott,43.514167,-88.223333
J. A. Baker,51.7361,0.4798
Kong Shangren,35.6,116.9833333
Millen Brand,40.71138889,-74.06472222
Tom Tryon,41.76333333,-72.685
Masanobu Fukuoka,33.7575,132.7038889
Joseph Joubert,45.06638889,1.161388889
Edith Wharton,40.67,-73.94
Alexandros Papadiamantis,39.16666667,23.48333333
Jean Stafford,34.09166667,-117.8791667
Cesare Pavese,44.7,8.233333333
Élisabeth Gille,48.85657778,2.351827778
Lionel Trilling,40.70416667,-73.91777778
Brian Moore,54.59666667,-5.938333333
Iona Opie,51.888611,0.903611
Peter Opie,30.05611111,31.23944444
Hugo von Hofmannsthal,48.20833,16.373064
Frans G. Bengtsson,56.30733333,13.09016667
Bohumil Hrabal,49.2041,16.6367
Anonymous,unknown,
Stendhal,45.18694444,5.726388889
Luigi Pirandello,37.311075,13.57654722
John Ehle,35.58,-82.55583333
David Derek Stacton,37.766667,-122.433333
Henry David Thoreau,42.46027778,-71.34944444
Henry Adams,42.35777778,-71.06166667
Henry James,40.67,-73.94
Dante Alighieri,43.77138889,11.25416667
Charles Dickens,50.803,-1.087
M. R. James,51.1275,1.312222222
Richard Malden,51.5004,-0.1909
Robert Louis Stevenson,55.95,-3.198888889
W. F. Harvey,54,-2
Wilkie Collins,51.507222,-0.1275
Tom Hood,51.507222,-0.1275
W.W. Jacobs,51.5073,-0.061
L.P. Hartley,52.55668056,-0.1307194444
E. Nesbit,51.4813,-0.1197
Josep Pla,41.918182,3.16302
T. H. White,18.96666667,72.83333333
Mikhail Saltykov-Shchedrin,56.85722222,37.93388889
Ernst Jünger,49.41222222,8.71
Natsume Sōseki,35.701389,139.709722
John Horne Burns,42.65833333,-71.1375
Janet Hobhouse,40.72833333,-73.99416667
Rebecca West,unknown,
Andrei Platonov,51.67166667,39.21055556
Der Nister,49.89194444,28.6
Arthur Conan Doyle,55.95,-3.198888889
Elizabeth von Arnim,-33.86666667,151.2
Russell Page,53.06666667,-0.1833333333
Elaine Dundy,40.67,-73.94
Magda Szabó,47.53,21.63916667
Bolesław Prus,50.81666667,23.88333333
Pierre Ryckmans,50.84666667,4.3526
Harold W. Cruse,37.21295,-77.400417
Paul Hazard,50.80611111,2.398055556
Francis Wyndham,51.507222,-0.1275
John Wyndham,52.48333333,-1.9
Jules Vallès,45.04333333,3.885
Alexander Pushkin,55.75583333,37.61777778
Béla Zombory-Moldován,48.44138889,22.71361111
Simone Schwarz-Bart,45.74527778,-0.6344444444
Gerolamo Cardano,45.18333333,9.15
Gerald Basil Edwards,49.45,-2.583333333
Peter Vilhelm Glob,55.68138889,11.085
Jeremias Gotthelf,46.92805556,7.116944444
Nirad C. Chaudhuri,24,88
Robert Burton,52.71666667,-1.183333333
Gyula Krúdy,47.95,21.71666667
Álvaro Mutis,4.598888889,-74.08083333
Carlo Emilio Gadda,45.464161,9.190336
William McPherson,46.49694444,-84.34555556
Linda Rosenkrantz,40.67,-73.94
Sylvia Townsend Warner,51.56666667,-0.3333333333
Elizabeth David,50.8141131,0.1917004
Robert Sheckley,40.67,-73.94
Tim Robinson,54,-2
Jakov Lind,48.20833,16.373064
Kabir,25.30694444,83.00611111
Peter Handke,46.70444444,14.73277778
Dezső Kosztolányi,46.09833333,19.67
Robert Montgomery Bird,39.66472222,-75.56527778
Richard Holmes,51.507222,-0.1275
Michel de Montaigne,44.87416667,0.03
Mark Van Doren,40.18,-87.74
Arthur Machen,51.615,-2.959
Edgar Allan Poe,42.35777778,71.06166667
H. P. Lovecraft,41.83083333,-71.415
Walter de la Mare,51.487674,0.038992
R. W. Chambers,40.69277778,-73.99027778
Ambrose Bierce,39.08,-82.02
M. P. Shiel,16.75,-62.2
Bram Stoker,53.365,-6.21
Algernon Blackwood,51.48,0
Geoffrey Household,51.45,-2.583333333
Adalbert Stifter,48.76744996,14.03257324
Emmett Grogan,40.69277778,-73.99027778
Patrick White,51.507222,-0.1275
Raymond Kennedy,42.12361111,-72.43194444
Margaret Leech,41.51972222,-74.01944444
Jean Renoir,48.85657778,2.351827778
Victor Segalen,48.39,-4.486944444
Thomas Browne,51.507222,-0.1275
Alan Garner,53.162,-2.217
Edward John Trelawny,53,-1
Bertolt Brecht,48.37166667,10.89833333
E. M. Forster,51.507222,-0.1275
Elizabeth Bowen,53.3425,-6.265833333
Frank O'Connor,51.9,-8.473055556
Franz Kafka,50.08861111,14.42138889
General Bible Author,unknown,
Giovanni Verga,37.50266944,15.08726944
Hans Christian Andersen,55.4,10.38333333
Isaak Babel,46.485722,30.743444
Ivan Turgenev,52.96666667,36.08333333
Jacob Grimm,50.13333333,8.916666667
Karen Blixen,55.8833,12.5433
