book_id,author
276,Harold W. Cruse
277,Paul Hazard
278,Mavis Gallant
279,Francis Wyndham
280,John Wyndham
281,Jules Valles
282,Victor Serge
283,Alexander Pushkin
284,Bela Zombory-Moldovan
285,Patrick Leigh Fermor
286,Simone Schwarz-Bart
287,Girolamo Cardano
288,G.B. Edwards
289,P.V. Glob
290,Jeremias Gotthelf
291,Kenneth Fearing
292,Nirad C. Chaudhuri
293,Robert Burton
294,Kingsley Amis
295,Gyula Krudy
296,Alvaro Mutis
297,Carlo Emilio Gadda
298,William McPherson
299,Linda Rosenkrantz
300,Kingsley Amis
301,Gyula Kr�dy
302,Sylvia Townsend Warner
303,Elizabeth David
304,Robert Sheckley
305,Tim Robinson
306,Tim Robinson
307,John Williams
308,Renata Adler
309,Jakov Lind
310,Andrey Platonov
311,Kabir
312,Peter Handke
313,Elizabeth Hardwick
314,Dezs_ Kosztol�nyi
315,Peter Handke
316,Robert Montgomery Bird
317,Richard Holmes
318,Michel de Montaigne
319,Mark Van Doren
320,Edgar Allan Poe
320,Bram Stoker
320,Ambrose Bierce
320,Ambrose Bierce
320,Ambrose Bierce
320,R. W. Chambers
320,M. P. Shiel
320,Arthur Machen
320,Algernon Blackwood
320,Henry James
320,Walter de la Mare
320,H. P. Lovecraft
321,Max Beerbohm
322,Elizabeth Hardwick
323,Tayeb Salih
324,Olivia Manning
325,Patrick Leigh Fermor
326,Geoffrey Household
327,Adalbert Stifter
328,Emmett Grogan
329,Patrick White
330,Raymond Kennedy
331,Margaret Leech
332,Jean Renoir
333,Victor Segalen
334,Sir Thomas Browne
335,Alan Garner
336,Edward John Trelawny
337,Anton Chekhov
337,Anton Chekhov
337,Anton Chekhov
337,Ludwig Tieck
337,Jacob Grimm
337,Wilhelm Grimm
337,Robert Frost
337,Ivan Turgenev
337,Bertolt Brecht
337,Isaac Babel
337,Giovanni Verga
337,Peter Taylor
337,Hans Christian Anderson
337,E. M. Forster
337,Frank O'Connor
337,Franz Kafka
337,Franz Kafka
337,Leo Tolstoy
337,Leo Tolstoy
337,Elizabeth Bowen
337,William Blake
337,Rainer Maria Rilke
337,Nikolai Gogol
337,Saint-Simon
337,Hugo von Hofmannsthal
337,Isak Dinesen
337,William Wordsworth
337,Katherine Anne Porter
337,Chuang T�zu
337,General Bible Author
337,D. H. Lawrence
338,Albert Cossery
339,David Mendel
340,Aeschylus
341,Jean Genet
342,Alexander Berkman
343,Paul Radin
344,Jessica Mitford
345,Gilbert Highet
346,Han Y�
346,Tu Mu
346,Tu Fu
346,Lu T'ung
346,Meng Chiao
346,Li Shang-yin
346,Li Ho
347,Dino Buzzati
348,Renata Adler
349,Carlo Collodi
350,David Kidd
351,Georges Simenon
352,Anton Chekhov
353,Murray Kempton
354,Mavis Gallant
355,Richard Cobb
356,Edmond de Goncourt
356,Jules de Goncourt
357,Eliza Fay
358,Katharine White
359,Kingsley Amis
360,Malcolm Braly
361,Simone Weil
362,William H. Gass
363,F�lix F�n�on
364,Vivant Denon
365,Tibor D�ry
366,Harvey Swados
367,William Lindsay Gresham
368,Jules Renard
369,George R. Stewart
370,Eileen Chang
371,J. R. Ackerley
372,Th�ophile Gautier
373,Alfred Hayes
374,J. R. Ackerley
375,Aleksander Wat
376,Sylvia Townsend Warner
377,Nina Berberova
378,Georges Bernanos
379,J.F. Powers
380,Blaise Cendrars
381,C�leste Albaret
382,Henri Michaux
383,Victor Serge
384,Sigizmund Krzhizhanovsky
385,Daniel Paul Schreber
386,John Glassco
387,Edmund Wilson
388,Gregor von Rezzori
389,Victor Serge
390,Yashar Kemal
391,James McCourt
392,Dwight Macdonald
393,May Sinclair
394,Ivy Compton-Burnett
395,Patrick Leigh Fermor
396,Nancy Mitford
397,Kingsley Amis
398,Gillian Rose
399,Eileen Chang
400,Sylvia Townsend Warner
401,Vasily Grossman
402,Astolphe de Custine
403,Rainer Maria Rilke
403,Boris Pasternak
403,Marina Tsvetayeva
404,Qiu Miaojin
405,Curzio Malaparte
406,Stefan Zweig
407,Antal Szerb
408,Arun Kolatkar
409,Robert Walser
410,Theodor Fontane
411,William Dean Howells
412,William H. Gass
413,Janet Malcolm
414,David Jones
415,Alfred Hayes
416,Richard Hughes
417,Vladimir Sorokin
418,Jessica Mitford
419,J. R. Ackerley
420,Emmanuel Bove
421,Jan Morris
422,Don Carpenter
423,Andrey Platonov
424,Fr. Rolfe
425,Paul Goodman
426,Euripides
427,Erich Kastner
428,Kingsley Amis
429,Nancy Mitford
430,Olivia Manning
431,Olivia Manning
432,Francis Steegmuller
433,S. Josephine Baker
434,Gabriel Chevallier
435,Jean-Patrick Manchette
436,John Collier
437,Tove Jansson
438,Vasily Grossman
439,L.P. Hartley
440,Leonardo Sciascia
441,Yuri Olesha
442,Upamanyu Chatterjee
443,Kingsley Amis
444,Joan Chase
445,Daphne du Maurier
446,Charles Simic
447,Friedrich Reck
448,Philippe-Paul de S�gur
449,Kingsley Amis
450,Nikolai Gogol
451,Erich Auerbach
452,Bohumil Hrabal
453,Raymond Radiguet
454,Caroline Blackwood
455,Sanford Friedman
456,Jan Morris
457,Alberto Moravia
458,Victor Serge
459,Stefan Zweig
460,William Roughead
461,Kenneth Fearing
462,Gabriel Garc�a M�rquez
463,John Wyndham
464,Stefan Zweig
465,Henry de Montherlant
466,Dorothy Baker
467,John Williams
468,Margot Wittkower
468,Rudolf Wittkower
469,Alberto Moravia
470,William Attaway
471,Geoffrey Wolff
472,Stefan Zweig
473,Patrick Leigh Fermor
474,Robert Walser
475,Howard Sturgis
476,Intizar Husain
477,Sigizmund Krzhizhanovsky
478,John Williams
479,Adolfo Bioy Casares
480,Italo Svevo
481,Glenway Wescott
482,Angus Wilson
483,Elizabeth Taylor
484,Gregor von Rezzori
485,Vasily Grossman
486,Tete-Michel Kpomassie
487,Nescio
488,Constance Rourke
489,G.V. Desani
490,Guy de Maupassant
491,Jean Strouse
492,James Schuyler
493,Ronald Blythe
494,Alberto Moravia
495,Iris Owens
496,Guy de Maupassant
497,Georges Simenon
